IDS,Site #,Vendor Name,Vendor Link,Site Name,Location,City,State,Zip,Latitude,Longitude
NRAZ,326,APS,https://outagemap.aps.com/outageviewer/?src=outagemap/1000,Anthem RV,44019 N. BLACK CANYON HWY,NEW RIVER,AZ,85087,33.8878,-112.1472
SWA,327,PUGET SOUND ENERGY,https://www.pse.com/en/outage/outage-map,Silverdale,11572 CLEAR CREEK RD NW,SILVERDALE,WA,98383-9602,47.6532,-122.6945
OWI,330,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Onalaska,1200 CROSSING MEADOWS DRIVE,ONALASKA,WI,54650-8558,43.9073,-91.194
SAL,331,ALABAMA POWER,https://outagemap.alabamapower.com/,Salem,3141 LEE ROAD 179,SALEM,AL,36874-1848,32.6068,-85.1897
BMI,332,DTE ENERGY,https://outage.dteenergy.com/map,Belleville,43646 N. INTERSTATE 94 SERVICE DRIVE,BELLEVILLE,MI,48111-2468,42.2175,-83.4858
GFIN,361,NineStar Connect,https://www.ninestarconnect.com/outages/,Greenfield,5935 WEST 225 NORTH,GREENFIELD,IN,46140-8267,39.8181862,-85.91191624
FCCA,337,PG&E,https://www.pge.com/outagestatus,French Camp,252 W YETTNER ROAD,FRENCH CAMP,CA,95231-9769,37.8844,-121.2754
,340,ROCKY MOUNTAIN POWER,https://www.rockymountainpower.net/outages-safety.html,Helper.,5129 N Hwy 6 Helper,HELPER,UTAH,84526,39.7267,-110.8922
,341,OG&E,https://outagemap.oge.com/,Van Buren AR,5603 Alma Hwy Van Buren,VAN BUREN,ARKANSAS,72956,35.4363,-94.3487
,342,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Houghton Lake MI,2424 W. Houghton Lake Dr Houghton Lake,HOUGHTON LAKE,MICHIGAN,48629,44.3128,-84.7691
BOR,343,PACIFIC POWER,https://www.pacificpower.net/outages-safety.html,Bend,63195 NE JAMISON STREET,BEND,OR,97703-1258,44.1169,-121.2578
,344,PG&E,https://www.pge.com/outagestatus,Yuba City CA,1375 Colusa HWY,YUBA CITY,CALIFORNIA,95993,39.1458,-121.6431
MAWA,346,SNOHOMISH COUNTY PUBLIC UTILITY DISTRICT NO. 1,https://outagemap.snopud.com/,Marysville,15855 SMOKEY POINT BOULEVARD,MARYSVILLE,WA,98271,48.1397,-122.1768
BPA,348,Met-Ed,https://outages-pa.firstenergycorp.com/,Boyertown,890 SWINEHART ROAD,BOYERTOWN,PA,19512,40.30813,-75.63761
LVN7,228,NV Energy,https://maps.nvenergy.com/outagemap/index.html,Las Vegas,13175 S LAS VEGAS BLVD,LAS VEGAS,NV,89044-9535,35.95006713,-115.1787931
OPFL,354,CLAY ELECTRIC COOPERATIVE INC,https://clayelectric.outagemap.coop/,Orange Park,1150 BLANDING BOULEVARD,ORANGE PARK,FL,32065-6704,30.1668,-81.7507
SRM,194,Oncor,https://stormcenter.oncor.com/,Sherman,2005 S SAM RAYBURN FWY,SHERMAN,TX,75090-9035,33.61467801,-96.60719903
BAR,359,BENTON UTILITIES,https://bentonutilities.outagemap.coop/,Benton,19503 INTERSTATE 30,BENTON,AR,72015,34.8322,-92.1993
HIL7,217,Portland General Electric,https://portlandgeneral.com/outages,Hillsboro,6503 SE ALEXANDER STREET,HILLSBORO,OR,97123-8587,45.49805018,-122.9141454
,362,Georgia Power,https://outagemap.georgiapower.com/,Byron,100 Suncoast Dr,BYRON,GEORGIA,31008,32.6538,-83.7421
GBAY,364,WISCONSIN PUBLIC SERVICE CORP,https://www.wisconsinpublicservice.com/outagesummary/view/outagegrid?ref=nf,Green Bay,1956 BOND ST,GREEN BAY,WI,54303-4626,26.6748,-81.7995
CFL,370,Duke Energy Florida,https://outagemap.duke-energy.com/,Clermont,2480 SOUTH HIGHWAY 27,CLERMONT,FL,34711,28.5363674,-81.73814
LTX,371,NRG ENERGY INC,https://www.nrg.com/resources/outages.html,Lewisville,1212 N Stemmons Freeway,LEWISVILLE,TEXAS,75067,33.06029362401541, -97.01198836626506
SMO,376,CITY UTILITIES OF SPRINGFIELD,https://outagemap.cityutilities.net/,Springfield,836 N Glenstone Ave,SPRINGFIELD,MISSOURI,65802,37.2177,-93.2619
SAZ,387,Arizona Public Service,https://outagemap.aps.com/outageviewer/,Surprise,12630 NORTH AUTOSHOW AVENUE,SURPRISE,AZ,85388,33.5990829,-112.422913
SDCA,335,San Diego Gas & Electric,https://outage.sdge.com/,San Diego,7620 COPLEY PARK PLACE,SAN DIEGO,CA,92111-1136,32.83659952,-117.1548854
KNOX,256,Sevier County Electric System,https://www.sces.net/outage-map/,Knoxville,210 EAST DUMPLIN VALLEY RD,KODAK,TN,37764-1805,35.98575133,-83.59994276
MTN,392,Middle Tennessee Electric,https://mte.com/outage-map,Murfreesboro,1005 BEASIE ROAD,MURFREESBORO,TN,37128,35.83588,-86.42527
SWI,393,We Energies,https://www.we-energies.com/outagemapext/,Sturtevant,390 SOUTH SYLVANIA AVENUE,STURTEVANT,WI,53177-1230,42.72745,-87.957
OSWI,315,Wisconsin Public Service,https://www.wisconsinpublicservice.com/outagemapext/,Oshkosh,3855 SOUTH WASHBURN STREET,OSHKOSH,WI,54904-2701,43.96779119,-88.58534015
FTP,605,Fort Pierce Utilities Authority,https://www.fpua.com/outage-map/,Fort Pierce,2123 S JENKINS RD,FORT PIERCE,FL,34947-4331,27.4269981,-80.38572
LMN,614,Dakota Electric Association,https://outage.dakotaelectric.com/,Lakeville,16861 KENYON AVENUE,LAKEVILLE,MN,55044-4459,44.70383,-93.28762
QMI,616,COLDWATER BOARD OF PUBLIC UTIL,https://www.coldwater.org/451/Service-Outages,Quincy,373 N WILLOWBROOK ROAD STE Y,COLDWATER,MI,49036-8866,41.9534,-85.0098
,617,DUKE ENERGY,https://outagemap.duke-energy.com/,WINSTON-SALEM,910 HANES MALL BLVD,WINSTON SALEM,NORTH CAROLINA,27106,36.0668,-80.2967
SIL,619,CITY WATER LIGHT & POWER,https://outagemap.cwlp.com/,Springfield,2371 CHUCKWAGON DRIVE,SPRINGFIELD,IL,62711-7105,39.7685,-89.7214
EWI,621,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,Eau Claire,6440 SCULLY DRIVE,EAU CLAIRE,WI,54701-9389,44.7447,-91.4314
,628,WE ENERGIES,https://www.we-energies.com/outagemapext/,APPLETON,535 N Westhill Boulevard,APPLETON,WISCONSIN,54914,44.2695,-88.4886
,632,XCEL ENERGY,https://co.my.xcelenergy.com/s/outage-safety/outage-map,AMARILLO,10300 I-40 Frontage Road,AMARILLO,TEXAS,79124,35.1918,-101.9554
,633,CONSUMERS ENERGY,https://www.consumersenergy.com/OutageMap,Flint,5038  MILLER RD UNIT 1U,FLINT,MICHIGAN,48507,42.973,-83.778
ROA,634,APPALACHIAN POWER,https://outagemap.appalachianpower.com/,Roanoke,8198 GANDER WAY,ROANOKE,VA,24019,37.3378,-79.9587
RWI,636,WISCONSIN PUBLIC SERVICE CORP,https://www.wisconsinpublicservice.com/outagesummary/view/outagegrid?ref=nf,Rothschild,1560 COUNTY ROAD XX,ROTHSCHILD,WI,54474-9043,44.8082,-89.6823
,637,WE ENERGIES,https://www.we-energies.com/outagemapext/,Kenosha,6801 120th Avenue,KENOSHA,WISCONSIN,53140,42.5714,-87.9528
MAD,638,ALLIANT ENERGY,https://www.alliantenergy.com/customer-service/outage-center,Madison,6199 EAST METRO DRIVE,DEFOREST,WI,53532-2949,43.2478,-89.3431
,641,AES INDIANA,https://myaccount.aesindiana.com/outages/outagemap.html,INDIANAPOLIS,5702 E 86TH ST,INDIANAPOLIS,INDIANA,46250,39.9121,-86.0728
,644,DTE ENERGY,https://outage.dteenergy.com/map,Port Huron MI,4055 24th Avenue,FORT GRATIOT,MICHIGAN,48059,43.0508,-82.4878
CNY,646,NATIONAL GRID,https://www.nationalgridus.com/MA-Home/Outage-Central/Outage-Map,Cicero,5864 CARMENICA DR,CICERO,NY,13039-8533,43.1778,-75.9749
AGA,649,Georgia Power,https://outagemap.georgiapower.com/,Augusta,145 MASON MCKNIGHT JR PKWY,AUGUSTA,GA,30907-3083,33.5152,-82.0877
JTN,650,JACKSON ENERGY AUTHORITY,https://www.jaxenergy.com/outage-center,Jackson,1523 VANN DRIVE,JACKSON,TN,38305-2095,35.6732,-88.8565
WKS,659,EVERGY,https://outagemap.evergy.com/,Wichita,3928 S OAK ST,WICHITA,KS,67217-3352,37.6199,-97.337
FLM,662,CONNEXUS ENERGY,https://experience.arcgis.com/experience/3ef36487143d4dc28dad813f667a40d9,Forest Lake,14640 W. FREEWAY DRIVE,FOREST LAKE,MN,55025-9432,45.2718,-93.0109
STX,672,CenterPoint Energy,https://tracker.centerpointenergy.com/map/,Spring,19302 INTERSTATE 45,SPRING,TX,77373-5328,30.0473824,-95.42817
,686,Ameren Illinois,https://outagemap.ameren.com/external/default.html,Marion,2480 Blue Heron Dr,MARION,ILLINOIS,62959,37.7418,-88.9477
BBL,687,CLECO POWER LLC,https://cleco.datacapable.com/map/,Breaux Bridge,2314 N. FRONTAGE ROAD,BREAUX BRIDGE,LA,70517-2200,30.29728955,-91.91260533
HHO,690,AES Ohio,https://myprofile.aes-ohio.com/Outages/Outages.html,Huber Heights,8001 OLD TROY PIKE,HUBER HEIGHTS,OH,45424-1037,39.86873,-84.13782
WHM,694,EVERSOURCE,https://outagemap.eversource.com/external/default.html,West Hatfield,188 WEST STREET ROUTE 5,WEST HATFIELD,MA,01088-9524,42.390785,-72.632627
HPA,696,Met-Ed,https://outages-pa.firstenergycorp.com/,"Hamburg, PA",20 INDUSTRIAL DR,HAMBURG,PA,19526-8767,40.5605,-75.99647
ALNY,697,CENTRAL HUDSON GAS AND ELECTRIC CORPORATION,https://outagemap.cenhud.com/,Albany,12634 STATE ROUTE 9W,WEST COXSACKIE,NY,12192-1711,42.389552,-73.828608
WHSE 940,940,BOONE REMC,https://ebill.bremc.com/maps/OutageWebMap/,distribution center,300 Purity Dr,LEBANON,INDIANA,46052,40.0418,-86.4695
WHSE 942,942,GREENVILLE UTILITIES,https://outagemap.gucapps.com/,942,111 Red Banks Rd,GREENSBORO,NORTH CAROLINA,27403,36.0618,-79.8459
